2010 SOC code	2010 Census Code	2010 Census Title 	2018 SOC Code	2018 Census Code	2018 Census Title 
51-3091	7830	"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"	51-3091	7830	"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
51-3092	7840	Food Batchmakers	51-3092	7840	Food Batchmakers
51-3093	7850	Food Cooking Machine Operators and Tenders	51-3093	7850	Food Cooking Machine Operators and Tenders
51-3099	7855	"Food Processing Workers, All Other"	51-3099	7855	"Food Processing Workers, All Other"
51-4010	7900	Computer Control Programmers and Operators	51-9160	7905	Computer numerically controlled tool operators and programmers
					Computer Numerically Controlled Tool Operators (51-9161)
					Computer Numerically Controlled Tool Programmers (51-9162)
			51-4020	7925	"Forming Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4021	7920	"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"	"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021)"		
51-4022	7930	"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"		"Forging Machine Setters, Operators, and Tenders, Metal and Plastic (51-4022)"	
51-4023	7940	"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"		"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023)"	
51-4031	7950	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	51-4031	7950	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
51-4033	8000	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	51-4033	8000	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
			51-403X	8025	"Other Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51-4032	7960	"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4032)"		
51-4034	8010	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4034)"		
51-4035	8020	"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"		"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4035)"	
51-4041	8030	Machinists	51-4041	8030	Machinists
51-4050	8040	"Metal Furnace Operators, Tenders, Pourers, and Casters"	51-4050	8040	"Metal Furnace Operators, Tenders, Pourers, and Casters"
					Metal-Refining Furnace Operators and Tenders (51-4051)
					"Pourers and Casters, Metal (51-4052)"
51-4060	8060	"Model Makers and Patternmakers, Metal and Plastic"	51-4060	8060	"Model Makers and Patternmakers, Metal and Plastic"
					"Model Makers, Metal and Plastic (51-4061)"
					"Patternmakers, Metal and  (51-4062)"
51-4070	8100	"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"	51-4070	8100	"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic"
					Foundry Mold and Coremakers (51-4071)
					"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic  (51-4072)"
51-4111	8130	Tool and Die Makers	51-4111	8130	Tool and Die Makers
51-4120	8140	"Welding, Soldering, and Brazing Workers"	51-4120	8140	"Welding, Soldering, and Brazing Workers"
					"Welders, Cutters, Solderers, and Brazers  (51-4121)"
					"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders (51-4122)"
			51-4XXX	8225	Other Metal Workers and Plastic Workers
51-4081	8120	"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"		"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081)"	
51-4191	8150	"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"		"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic (51-4191)"	
51-4192	8160	"Layout Workers, Metal and Plastic"			"Layout Workers, Metal and Plastic (51-4192)"
51-4193	8200	"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"		"Plating Machine Setters, Operators, and Tenders, Metal and Plastic (51-4193)"	
51-4194	8210	"Tool Grinders, Filers, and Sharpeners"			"Tool Grinders, Filers, and Sharpeners (51-4194)"
51-4199	8220	"Metal Workers and Plastic Workers, All Other"			"Metal Workers and Plastic Workers, All Other (51-4199)"
					
					
51-5111	8250	Prepress Technicians and Workers	51-5111	8250	Prepress Technicians and Workers
51-5112	8255	Printing Press Operators	51-5112	8255	Printing Press Operators
51-5113	8256	Print Binding and Finishing Workers	51-5113	8256	Print Binding and Finishing Workers
51-6011	8300	Laundry and Dry-Cleaning Workers	51-6011	8300	Laundry and Dry-Cleaning Workers
51-6021	8310	"Pressers, Textile, Garment, and Related Materials"	51-6021	8310	"Pressers, Textile, Garment, and Related Materials"
51-6031	8320	Sewing Machine Operators	51-6031	8320	Sewing Machine Operators
			51-6040	8335	Shoe and Leather Workers
51-6041	8330	Shoe and Leather Workers and Repairers			Shoe and Leather Workers and Repairers (51-6041)
51-6042	8340	Shoe Machine Operators and Tenders			Shoe Machine Operators and Tenders (51-6042)
51-6050	8350	"Tailors, Dressmakers, and Sewers"	51-6050	8350	"Tailors, Dressmakers, and Sewers"
					"Sewers, Hand (51-6051)"
					"Tailors, Dressmakers, and Custom Sewers (51-6052)"
			51-6060	8365	"Textile Machine Setters, Operators, and Tenders"
51-6061	8360	Textile Bleaching and Dyeing Machine Operators and Tenders			Textile Bleaching and Dyeing Machine Operators and Tenders (51-6061)
51-6062	8400	"Textile Cutting Machine Setters, Operators, and Tenders"			"Textile Cutting Machine Setters, Operators, and Tenders (51-6062)"
51-6063	8410	"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"		"Textile Knitting and Weaving Machine Setters, Operators, and Tenders (51-6063)"	
51-6064	8420	"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"	"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders (51-6064)"		
51-6093	8450	Upholsterers	51-6093	8450	Upholsterers
			51-609X	8465	"Other Textile, Apparel, and Furnishings Workers"
51-6091	8430	"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"	"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091)"		
51-6092	8440	Fabric and Apparel Patternmakers			Fabric and Apparel Patternmakers (51-6092)
51-6099	8460	"Textile, Apparel, and Furnishings Workers, All Other"			"Textile, Apparel, and Furnishings Workers, All Other (51-6099)"
51-7011	8500	Cabinetmakers and Bench Carpenters	51-7011	8500	Cabinetmakers and Bench Carpenters
51-7021	8510	Furniture Finishers	51-7021	8510	Furniture Finishers
51-7041	8530	"Sawing Machine Setters, Operators, and Tenders, Wood"	51-7041	8530	"Sawing Machine Setters, Operators, and Tenders, Wood"
51-7042	8540	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"	51-7042	8540	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
			51-70XX	8555	Other Woodworkers
51-7030	8520	"Model Makers and Patternmakers, Wood"			"Model Makers and Patternmakers, Wood (51-7030)"
					"Model Makers, Wood (51-7031)"
					"Patternmakers, Wood (51-7032)"
51-7099	8550	"Woodworkers, All Other"			"Woodworkers, All Other (51-7099)"
51-8010	8600	"Power Plant Operators, Distributors, and Dispatchers"	51-8010	8600	"Power Plant Operators, Distributors, and Dispatchers"
					Nuclear Power Reactor Operators (51-8011)
					Power Distributors and Dispatchers (51-8012)
					Power Plant Operators (51-8013)
51-8021	8610	Stationary Engineers and Boiler Operators	51-8021	8610	Stationary Engineers and Boiler Operators
51-8031	8620	Water and Wastewater Treatment Plant and System Operators	51-8031	8620	Water and Wastewater Treatment Plant and System Operators
51-8090	8630	Miscellaneous Plant and System Operators	51-8090	8630	Miscellaneous Plant and System Operators
					Chemical Plant and System Operators (51-8091)
					Gas Plant Operators (51-8092)
					"Petroleum Pump System Operators, Refinery Operators, and Gaugers (51-8093)"
					"Plant and System Operators, All Other (51-8099)"
51-9010	8640	"Chemical Processing Machine Setters, Operators, and Tenders"	51-9010	8640	"Chemical Processing Machine Setters, Operators, and Tenders"
					Chemical Equipment Operators and Tenders  (51-9011)
					"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders (51-9012)"
51-9020	8650	"Crushing, Grinding, Polishing, Mixing, and Blending Workers"	51-9020	8650	"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
					"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders (51-9021)"
					"Grinding and Polishing Workers, Hand (51-9022)"
					"Mixing and Blending Machine Setters, Operators, and Tenders (51-9023)"
51-9030	8710	Cutting Workers	51-9030	8710	Cutting Workers
					"Cutters and Trimmers, Hand (51-9031)"
					"Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032)"
51-9041	8720	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"	51-9041	8720	"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51-9051	8730	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"	51-9051	8730	"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51-9061	8740	"Inspectors, Testers, Sorters, Samplers, and Weighers"	51-9061	8740	"Inspectors, Testers, Sorters, Samplers, and Weighers"
51-9071	8750	Jewelers and Precious Stone and Metal Workers	51-9071	8750	Jewelers and Precious Stone and Metal Workers
51-9080	8760	"Medical, Dental, and Ophthalmic Laboratory Technicians"	51-9080	8760	Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
					Dental Laboratory Technicians (51-9081)
					Medical Appliance Technicians (51-9082)
					Ophthalmic Laboratory Technicians (51-9083)
51-9111	8800	Packaging and Filling Machine Operators and Tenders	51-9111	8800	Packaging and Filling Machine Operators and Tenders
51-9120	8810	Painting Workers	51-9120	8810	Painting Workers
					"Painting, Coating, and Decorating Workers (51-9123)"
					"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (51-9124)"
51-9151	8830	Photographic Process Workers and Processing Machine Operators	51-9151	8830	Photographic Process Workers and Processing Machine Operators
51-9191	8850	Adhesive Bonding Machine Operators and Tenders	51-9191	8850	Adhesive Bonding Machine Operators and Tenders
51-9194	8910	Etchers and Engravers	51-9194	8910	Etchers and Engravers
51-9195	8920	"Molders, Shapers, and Casters, Except Metal and Plastic"	51-9195	8920	"Molders, Shapers, and Casters, Except Metal and Plastic"
51-9196	8930	"Paper Goods Machine Setters, Operators, and Tenders"	51-9196	8930	"Paper Goods Machine Setters, Operators, and Tenders"
51-9197	8940	Tire Builders	51-9197	8940	Tire Builders
51-9198	8950	Helpers--Production Workers	51-9198	8950	Helpers--Production Workers
			51-919X	8865	Other Production Equipment Operators and Tenders
51-9192	8860	"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"		"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders (51-9192)"	
51-9193	8900	Cooling and Freezing Equipment Operators and Tenders			Cooling and Freezing Equipment Operators and Tenders (51-9193)
			51-91XX	8990	Other Production Workers
51-9141	8840	Semiconductor Processors			Semiconductor Processing Technicians (51-9141)
51-9199	8965	"Production Workers, All Other"			"Production Workers, All Other (51-9199)"
53-1000	9000	Supervisors of Transportation and Material Moving Workers	53-1000	9005	Supervisors of Transportation and Material Moving Workers
					Aircraft Cargo Handling Supervisors (53-1041)
					"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand (53-1042)"
					First-Line Supervisors of Material-Moving Machine and Vehicle Operators (53-1043)
					First-Line Supervisors of Passenger Attendants (53-1044)
					"First-Line Supervisors of Transportation Workers, All Other (53-1049)"
53-2010	9030	Aircraft Pilots and Flight Engineers	53-2010	9030	Aircraft Pilots and Flight Engineers
					"Airline Pilots, Copilots, and Flight Engineers (53-2011)"
					Commercial Pilots (53-2012)
53-2020	9040	Air Traffic Controllers and Airfield Operations Specialists	53-2020	9040	Air Traffic Controllers and Airfield Operations Specialists
					Air Traffic Controllers (53-2021)
					Airfield Operations Specialists (53-2022)
53-2031	9050	Flight Attendants	53-2031	9050	Flight Attendants
53-3011	9110	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"	53-3011	9110	"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53-3020	9120	Bus Drivers			
			53-3051	9121	"Bus Drivers, School"
			53-3052	9122	"Bus Drivers, Transit and Intercity"
53-3030	9130	Driver/Sales Workers and Truck Drivers	53-3030	9130	Driver/Sales Workers and Truck Drivers
					Driver/Sales Workers (53-3031)
					Heavy and Tractor-Trailer Truck Drivers (53-3032)
					Light Truck Drivers (53-3033)
53-3041	9140	Taxi Drivers and Chauffeurs			
			53-3053	9141	Shuttle Drivers and Chauffeurs
			53-3054	9142	Taxi Drivers
53-3099	9150	"Motor Vehicle Operators, All Other"	53-3099	9150	"Motor Vehicle Operators, All Other"
53-4010	9200	Locomotive Engineers and Operators	53-4010	9210	Locomotive Engineers and Operators
					Locomotive Engineers (53-4011)
					"Rail Yard Engineers, Dinkey Operators, and Hostlers (53-4013)"
53-4031	9240	Railroad Conductors and Yardmasters	53-4031	9240	Railroad Conductors and Yardmasters
			53-40XX	9265	Other Rail Transportation Workers
53-4021	9230	"Railroad Brake, Signal, and Switch Operators"			"Railroad Brake, Signal, and Switch Operators and Locomotive Firers (53-4022)"
53-40XX	9260	"Subway, Streetcar, and Other Rail Transportation Workers "			Subway and Streetcar Operators (53-4041)
					"Rail Transportation Workers, All Other (53-4099)"
53-5011	9300	Sailors and Marine Oilers	53-5011	9300	Sailors and Marine Oilers
53-5031	9330	Ship Engineers	53-5031	9330	Ship Engineers 
53-5020	9310	Ship and Boat Captains and Operators	53-5020	9310	Ship and Boat Captains and Operators
					"Captains, Mates, and Pilots of Water Vessels (53-5021)"
					Motorboat Operators (53-5022)
53-6021	9350	Parking Lot Attendants	53-6021	9350	Parking Attendants
53-6031	9360	Automotive and Watercraft Service Attendants	53-6030	9365	Transportation Service Attendants
					Automotive and Watercraft Service Attendants (56-6031)
					Aircraft Service Attendants (53-6032)
53-6051	9410	Transportation Inspectors	53-6051	9410	Transportation Inspectors
53-6061	9415	"Transportation Attendants, except Flight Attendants"	53-6061	9415	Passenger Attendants
					
			53-60XX	9430	Other Transportation Workers
53-6011	9340	Bridge and Lock Tenders			Bridge and Lock Tenders (53-6011)
53-60XX	9420	Other Transportation Workers			Traffic Technicians (53-6041)
					"Transportation Workers, All Other (53-6099)"
53-7021	9510	Crane and Tower Operators	53-7021	9510	Crane and Tower Operators
			47-5022	6821	"Excavating and Loading Machine and Dragline Operators, Surface Mining"
			53-70XX	9570	"Conveyor, Dredge, and Hoist and Winch Operators"
53-7011	9500	Conveyor Operators and Tenders			Conveyor Operators and Tenders (53-7011)
53-7030	9520	"Dredge, Excavating, and Loading Machine Operators"			Dredge Operators (53-7031)
53-7041	9560	Hoist and Winch Operators			Hoist and Winch Operators (53-7041)
53-7051	9600	Industrial Truck and Tractor Operators	53-7051	9600	Industrial Truck and Tractor Operators
53-7061	9610	Cleaners of Vehicles and Equipment	53-7061	9610	Cleaners of Vehicles and Equipment
53-7062	9620	"Laborers and Freight, Stock, and Material Movers, Hand"	53-7062	9620	"Laborers and Freight, Stock, and Material Movers, Hand"
53-7063	9630	Machine Feeders and Offbearers	53-7063	9630	Machine Feeders and Offbearers
53-7064	9640	"Packers and Packagers, Hand"	53-7064	9640	"Packers and Packagers, Hand"
53-7070	9650	Pumping Station Operators	53-7070	9650	Pumping Station Operators
					Gas Compressor and Gas Pumping Station Operators (53-7071)
					"Pump Operators, Except Wellhead Pumpers (53-7072)"
					Wellhead Pumpers (53-7073)
53-7081	9720	Refuse and Recyclable Material Collectors	53-7081	9720	Refuse and Recyclable Material Collectors
			53-71XX	9760	Other Material Moving Workers
53-7121	9740	"Tank Car, Truck, and Ship Loaders"			"Tank Car, Truck, and Ship Loaders (53-7121)"
53-7199	9750	"Material Moving Workers, All Other"			"Material Moving Workers, All Other (53-7199)"
53-7111	9730	Mine Shuttle Car Operators			
55-1010	9800	Military Officer Special and Tactical Operations Leaders	55-1010	9800	Military Officer Special and Tactical Operations Leaders
					Air Crew Officers (55-1011)
					Aircraft Launch and Recovery Officers (55-1012)
					Armored Assault Vehicle Officers (55-1013)
					Artillery and Missile Officers (55-1014)
					Command and Control Center Officers (55-1015)
					Infantry Officers (55-1016)
					Special Forces Officers (55-1017)
					"Military Officer Special and Tactical Operations Leaders, All Other (55-1019)"
55-2010	9810	First-Line Enlisted Military Supervisors	55-2010	9810	First-Line Enlisted Military Supervisors
					First-Line Supervisors of Air Crew Members (55-2011)
					First-Line Supervisors of Weapons Specialists/Crew Members (55-2012)
					First-Line Supervisors of All Other Tactical Operations Specialists (55-2013)
55-3010	9820	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members	55-3010	9825	Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members
					Air Crew Members (55-3011)
					Aircraft Launch and Recovery Specialists (55-3012)
					Armored Assault Vehicle Crew Members (55-3013)
					Artillery and Missile Crew Members (55-3014)
					Command and Control Center Specialists (55-3015)
					Infantry (55-3016)
					Special Forces (55-3018)
					"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other (55-3019)"
none	9830	"Military, Rank Not Specified"	none	9830	"Military, Rank Not Specified"
none	9920	"Unemployed, with no work experience in the last 5 years or earlier or never worked"	none	9920	"Unemployed, with no work experience in the last 5 years or earlier or never worked"
